title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Ford S-Max,https://www.otomoto.pl/oferta/ford-s-max-ford-s-max-2-2-tdci-175-km-titanium-s-navi-xenon-panorama-ID6DvvMI.html#7ce9f71ee3,2008 ,218 000 km,2 200 cm3,Diesel,28 999,PLN,Piła,(Wielkopolskie)
Seat Altea 1.4,https://www.otomoto.pl/oferta/seat-altea-seat-altea-1-4-benzyna-bez-turbo-ID6Dvr3d.html#7ce9f71ee3,2010 ,111 700 km,1 390 cm3,Benzyna,15 900,PLN,Zielona Góra,(Lubuskie)
Hyundai ix55 3.0,https://www.otomoto.pl/oferta/hyundai-ix55-3-0-diesel-240km-salon-polska-oryginal-lakier-serwis-ID6DjI0H.html#7ce9f71ee3,2009 ,160 524 km,2 959 cm3,Diesel,37 900,PLN,Pruszków,(Mazowieckie)
Volvo S90 T5,https://www.otomoto.pl/oferta/volvo-s90-s90-r-design-polestar-t5-salonowy-faktura-vat-ID6DvvKw.html#7ce9f71ee3,2018 ,68 000 km,1 969 cm3,Benzyna,153 750,PLN,Legionowo,(Mazowieckie)
Suzuki Vitara,https://www.otomoto.pl/oferta/suzuki-vitara-ID6DvvLB.html#7ce9f71ee3,2016 ,183 000 km,,Diesel,48 900,PLN,Lipno,(Kujawsko-pomorskie)
Seat Leon,https://www.otomoto.pl/oferta/seat-leon-fr-150km-dsg-ID6DppVd.html#7ce9f71ee3,2020 ,10 km,1 499 cm3,Benzyna,119 900,PLN,Myślenice,(Małopolskie)
Seat Arona,https://www.otomoto.pl/oferta/seat-arona-fr-150km-dsg-ID6Dpity.html#7ce9f71ee3,2020 ,10 km,1 499 cm3,Benzyna,105 900,PLN,Myślenice,(Małopolskie)
Ford Focus,https://www.otomoto.pl/oferta/ford-focus-st-2-0-benz-280km-niski-przebieg-63tys-piekny-kolor-ID6DbfHH.html#7ce9f71ee3,2013 ,63 000 km,1 999 cm3,Benzyna,37 900,PLN,Pruszków,(Mazowieckie)
Honda Accord,https://www.otomoto.pl/oferta/honda-accord-pierwszy-wlasciciel-serwis-promocja-ID6Dp8Ze.html#7ce9f71ee3,2008 ,160 000 km,1 995 cm3,Benzyna,26 200,PLN,Tarnobrzeg,(Podkarpackie)
Seat Leon,https://www.otomoto.pl/oferta/seat-leon-nowy-leon-xcellence-150km-st-ID6Dh8ga.html#7ce9f71ee3,2020 ,10 km,1 498 cm3,Benzyna,104 900,PLN,Myślenice,(Małopolskie)
Opel Astra IV,https://www.otomoto.pl/oferta/opel-astra-1-4-turbo-140km-pakiet-chrom-alusy-xenon-serwisowana-oplacona-ID6DueEV.html#7ce9f71ee3,2010 ,94 358 km,1 364 cm3,Benzyna,29 900,PLN,Mogilno,(Kujawsko-pomorskie)
Hyundai ix35,https://www.otomoto.pl/oferta/hyundai-ix35-2-0-diesel-136km1-wl-z-niemiec-full-opcja4x4jak-z-fabryki-ID6DuGF1.html#7ce9f71ee3,2015 ,147 000 km,2 000 cm3,Diesel,57 900,PLN,Bogoria Skotnicka,(Świętokrzyskie)
Mazda 6 2.0,https://www.otomoto.pl/oferta/mazda-6-salon-pl-74-tys-km-oryginal-lakier-serwis-aso-sky-passion-bezwypadkowy-ID6DjtI6.html#7ce9f71ee3,2014 ,74 000 km,1 998 cm3,Benzyna,66 900,PLN,Ostrowiec Świętokrzyski,(Świętokrzyskie)
Škoda Octavia 1.6,https://www.otomoto.pl/oferta/skoda-octavia-1-6-diesel-105km-salon-polska-bardzo-zadbana-polecam-ID6DbDSk.html#7ce9f71ee3,2011 ,303 000 km,1 598 cm3,Diesel,16 900,PLN,Pruszków,(Mazowieckie)
Škoda Octavia 1.6,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-1-6-tdi-110-km-automat-dsg-salon-polska-fv-vat-23-ID6DoXYx.html#7ce9f71ee3,2015 ,149 200 km,1 598 cm3,Diesel,45 900,PLN,Rzeszów,(Podkarpackie)
Volkswagen Caddy Maxi,https://www.otomoto.pl/oferta/volkswagen-caddy-salon-polska-gwarancja-bogata-wersja-automat-navi-maxi-ID6DvvKB.html#7ce9f71ee3,2019 ,69 500 km,1 968 cm3,Diesel,79 950,PLN,Stęszew,(Wielkopolskie)
Mercedes-Benz CLK,https://www.otomoto.pl/oferta/mercedes-benz-clk-2-6-benz-170km-oryginal-lakier-serwis-pelny-stan-unikatowy-ID6Dh2Om.html#7ce9f71ee3,2003 ,159 802 km,2 597 cm3,Benzyna,25 900,PLN,Pruszków,(Mazowieckie)
Jeep Grand Cherokee Gr,https://www.otomoto.pl/oferta/jeep-grand-cherokee-salon-polska-bezwypadkowy-faktura-vat-ID6Dnevp.html#7ce9f71ee3,2019 ,33 500 km,2 987 cm3,Diesel,259 000,PLN,Ornontowice,(Śląskie)
Audi A3,https://www.otomoto.pl/oferta/audi-a3-sportbackbenzynabixenontempomatpdcokazja-ID6DwRIb.html#7ce9f71ee3,2009 ,208 990 km,1 400 cm3,Benzyna,23 600,PLN,Wrocław,(Dolnośląskie)
Infiniti G G37,https://www.otomoto.pl/oferta/infiniti-g-3-7-benz-320km-awd-kolor-magma-red-ID6DkGiB.html#7ce9f71ee3,2011 ,154 000 km,3 696 cm3,Benzyna,49 900,PLN,Pruszków,(Mazowieckie)
Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-b8-4x4-dsg-pelna-opcja-ID6Dr7xP.html#7ce9f71ee3,2015 ,201 000 km,1 968 cm3,Diesel,60 270,PLN,Rzeszów,(Podkarpackie)
Honda Accord 2.0,https://www.otomoto.pl/oferta/honda-accord-2-0-vtec-tylko-133tys-km-pelny-serwis-stan-idealny-od-i-wlasciciela-ID6DwIlO.html#7ce9f71ee3,2007 ,133 417 km,1 998 cm3,Benzyna,25 500,PLN,Wołomin,(Mazowieckie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-3-0-xd-2006r-m-pakiet-stan-bdb-ID6DvvJp.html#7ce9f71ee3,2006 ,229 000 km,2 993 cm3,Diesel,27 900,PLN,Kołaczów,(Dolnośląskie)
Citroën C1 1.0i,https://www.otomoto.pl/oferta/citroen-c1-klima-wspomaganie-elektryczne-szyby-ksiazka-serwisowa-eco-skora-ID6Dtw7b.html#7ce9f71ee3,2013 ,99 000 km,998 cm3,Benzyna,12 900,PLN,Kołbiel,(Mazowieckie)
Volkswagen Arteon,https://www.otomoto.pl/oferta/volkswagen-arteon-r-line-2-0-tdi-4motion-190-km-dsg-citymotors-gdansk-ID6CdYR8.html#7ce9f71ee3,2019 ,1 km,2 000 cm3,Diesel,176 900,PLN,Gdańsk,(Pomorskie)
Volvo XC 60 DRIVe,https://www.otomoto.pl/oferta/volvo-xc-60-bogate-wyposazenie-serwis-ID6Dnewn.html#7ce9f71ee3,2012 ,150 000 km,1 984 cm3,Diesel,59 999,PLN,Tarnobrzeg,(Podkarpackie)
Ford Mondeo 2.0,https://www.otomoto.pl/oferta/ford-mondeo-ford-mondeo-2-0-ghia-ID6DvvGy.html#7ce9f71ee3,2012 ,289 716 km,1 997 cm3,Diesel,24 500,PLN,Nowy Sącz,(Małopolskie)
Volkswagen Golf,https://www.otomoto.pl/oferta/volkswagen-golf-1-4-benz-75km-2004-rok-ID6DiJJI.html#7ce9f71ee3,2004 ,193 744 km,1 390 cm3,Benzyna,8 900,PLN,Pruszków,(Mazowieckie)
Ford C-MAX,https://www.otomoto.pl/oferta/ford-c-max-ford-c-max-2-0-tdci-140-km-titanum-panorama-automat-ID6DszNY.html#7ce9f71ee3,2011 ,198 000 km,1 997 cm3,Diesel,28 900,PLN,Kłecko,(Wielkopolskie)
Ford S-Max 2.0,https://www.otomoto.pl/oferta/ford-s-max-st-line-bezwypadkowy-150-koni-automat-ID6DwRiP.html#7ce9f71ee3,2016 ,149 543 km,1 998 cm3,Diesel,63 900,PLN,Psary,(Dolnośląskie)
Škoda Superb 2.0,https://www.otomoto.pl/oferta/skoda-superb-skoda-superb-ii-2015-r-2-0-tdi-170-km-ID6DlCS4.html#7ce9f71ee3,2015 ,104 000 km,1 968 cm3,Diesel,55 900,PLN,Ciechanów,(Mazowieckie)
Škoda Octavia 2.0,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-2-0-tdi-150km-automat-niski-przebieg-fv-23-ID6Dulu2.html#7ce9f71ee3,2015 ,88 830 km,1 968 cm3,Diesel,49 999,PLN,Częstochowa,(Śląskie)
Volkswagen Golf 2.0,https://www.otomoto.pl/oferta/volkswagen-golf-gti-serwis-do-konca-w-vw-ID6DvvHy.html#14a617a363,2006 ,223 554 km,1 984 cm3,Benzyna,23 900,PLN,Radom,(Mazowieckie)
Peugeot 5008,https://www.otomoto.pl/oferta/peugeot-5008-sprzedam-2-0-hdi-150-km-7-osobowy-panorama-nawigacja-serwis-ID6Dtq9u.html#14a617a363,2010 ,170 000 km,1 997 cm3,Diesel,24 900,PLN,Stargard Szczeciński,(Zachodniopomorskie)
Jeep Renegade 1.4,https://www.otomoto.pl/oferta/jeep-renegade-sprzedam-ID6DwRBB.html#14a617a363,2017 ,23 350 km,1 368 cm3,Benzyna,67 900,PLN,Siewierz,(Śląskie)
Audi S8 Plus,https://www.otomoto.pl/oferta/audi-s8-s8-plus-605km-pelne-wyposazenie-dodatkowe-idealny-stan-ID6DvvCJ.html#14a617a363,2017 ,91 000 km,3 993 cm3,Benzyna,300 000,PLN,Konstancin-Jeziorna,(Mazowieckie)
Renault Trafic 2.0,https://www.otomoto.pl/oferta/renault-trafic-2005r-1-9-dti-klima-9-osob-ID6DwRDI.html#14a617a363,2005 ,305 182 km,1 995 cm3,Diesel,18 700,PLN,Królewiec,(Świętokrzyskie)
Honda Jazz 1.4,https://www.otomoto.pl/oferta/honda-jazz-1-4-lpg-z-niemiec-bezwypadek-klimatronik-org-przebieg-oplacona-ID6DwSO3.html#14a617a363,2007 ,177 000 km,1 339 cm3,Benzyna+LPG,13 500,PLN,Gniezno,(Wielkopolskie)
Seat Leon 1.6,https://www.otomoto.pl/oferta/seat-leon-seat-leon-1-6-dsg-ID6DvvBW.html#14a617a363,2016 ,60 000 km,1 598 cm3,Diesel,42 500,PLN,Wolsztyn,(Wielkopolskie)
Hyundai i40 1.7,https://www.otomoto.pl/oferta/hyundai-i40-lift-pierwszy-wlasciciel-oryginal-promocja-ID6Dp8WE.html#14a617a363,2015 ,134 000 km,1 685 cm3,Diesel,45 500,PLN,Tarnobrzeg,(Podkarpackie)
Volkswagen Passat 2.0,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-ID6Dwrd1.html#14a617a363,2012 ,129 013 km,1 968 cm3,Diesel,42 900,PLN,Luboń,(Wielkopolskie)
Škoda Superb 1.8,https://www.otomoto.pl/oferta/skoda-superb-jak-nowy-salon-pl-od-1wl-z-dsg-do-konca-serwis-aso-ID6DvvDy.html#14a617a363,2010 ,160 690 km,1 798 cm3,Benzyna,32 500,PLN,Warszawa,(Mazowieckie)
BMW Seria 3 320Ci,https://www.otomoto.pl/oferta/bmw-seria-3-2-0-150km-benzyna-lpg-skora-xenon-klima-zarejestrowany-ID6DvvCl.html#14a617a363,2000 ,330 000 km,1 991 cm3,Benzyna+LPG,9 900,PLN,Płock,(Mazowieckie)
Bentley Continental Flying Spur,https://www.otomoto.pl/oferta/bentley-continental-flying-spur-czarna-limuzyna-20-zoll-4-os-pneumatyka-masaze-zamiana-ID6DvvFm.html#14a617a363,2008 ,103 914 km,6 000 cm3,Benzyna,199 000,PLN,Pieńkowo,(Zachodniopomorskie)
